question,A,B,C,D,E,answer,explanation
"<p>In ________ power amplifiers, the output signal varies for a full 360º of the cycle.</p>",class A,class B or AB,class C,class D,,A,
"<p>In class B power amplifiers, the output signal varies for ________ of the cycle.</p>",360º,180º,between 180º and 360º,less than 180º,,B,
<p>________ amplifiers have the highest overall efficiency.</p>,Class A,Class B or AB,Class C,Class D,,D,
"<p>Power amplifiers primarily provide sufficient power to an output load, typically from ________ to ________.</p>","a few kW, tens of kW","500 W, 1 kW","100 W, 500 W","a few W, tens of W",,D,
<p>The reflected impedance seen from one side of the transformer to the other side is ________.</p>,N<sub>1</sub>/N<sub>2</sub>,(N<sub>1</sub>/N<sub>2</sub>)<sup>2</sup>,(N<sub>1</sub>/N<sub>2</sub>)<sup>1/3</sup>,N<sub>1</sub>× N<sub>2</sub>,,B,
"<p>In a class A transformer-coupled amplifier, the ________ the value of V<sub>CEmax</sub> and the ________ the value of V<sub>CEmin</sub>, the ________ the efficiency to (from) the theoretical limit of 50%.</p>","larger, smaller, farther","larger, smaller, closer","smaller, larger, closer",None of the above,,B,
<p>Class D operation can achieve power efficiency of over ________.</p>,90%,78.5%,50%,25%,,A,
"<p>In Fourier technique, any periodic distorted waveform can be represented by ________ the fundamental and all harmonic components.</p>",multiplying,subtracting,dividing,adding,,D,
<p>The beta of a power transistor is generally ________.</p>,more than 200,100 to 200,less than 100,0,,C,
<p>The fundamental component is typically ________ any harmonic component.</p>,larger than,the same as,smaller than,None of the above,,A,
<p>The main feature(s) of a large-signal amplifier is (are) the ________.</p>,circuit's power efficiency,maximum amount of power that the circuit is capable of handling,impedance matching to the output,All of the above,,D,
<p>The slope of the ac load line in the class A transformer-coupled transistor is ________.</p>,–1/R<sub>L</sub> (load resistor),1/(a<sup>2</sup>R<sub>L</sub>),–1/(a<sup>2</sup>R<sub>L</sub>),1/R<sub>L</sub>,,C,
<p>The ________ has the hottest temperature in a power transistor.</p>,heat sink,case,junction,None of the above,,C,
<p>The complementary Darlington-connected transistor for a class B amplifier provides ________ output current and ________ output resistance.</p>,"higher, higher","higher, lower","lower, lower","lower, higher",,B,
"<p>The greater the power handled by the power transistor, ________ the case temperature.</p>",the higher,the lower,there is no change in,None of the above,,A,
<p>A class A amplifier dissipates ________ power when the load is drawing maximum power from the circuit.</p>,the least,about the same,the most,None of the above,,A,
<p>The highest efficiency is obtained in class B operation when the level of V<sub>L</sub>(p) is equal to ________.</p>,0.25V<sub>CC</sub>,0.50V<sub>CC</sub>,V<sub>CC</sub>,2V<sub>CC</sub>,,C,
<p>________ transistors can be used to build a class B amplifier.</p>,<i>npn</i> and <i>pnp</i>,<i>n</i>MOS and <i>p</i>MOS,Both <i>npn</i> and <i>pnp</i> or <i>n</i>MOS and <i>p</i>MOS,None of the above,,C,
<p>Improvement in production techniques of power transistors have ________.</p>,produced higher power ratings in small-sized packaging cases,increased the maximum transistor breakdown voltage,provided faster-switching power transistors,All of the above,,D,
<p>The amount of power dissipated by the transistor is the ________ of that drawn from the dc supply (set by the bias point) and the amount delivered to the ac load.</p>,summation,product,difference,average,,C,
"<p>In a class A transformer-coupled power amplifier, ________ winding resistance of the transformer determine(s) the dc load line for the circuit.</p>",the ac,the dc,both the ac and dc,neither the ac nor dc,,B,
<p>A form of class A amplifier having maximum efficiency of ________ uses a transformer to couple the output signal to the load.</p>,90%,78.5%,50%,25%,,C,
<p>A heat sink provides ________ thermal resistance between case and air.</p>,a high,a low,the same,None of the above,,B,
"<p>In class B operation, the current drawn from a single power supply has the form of ________ rectified signal.</p>",a full-wave,a half-wave,both a full-wave and a half-wave,None of the above,,A,
<p>A ________ power amplifier is limited to use at one fixed frequency.</p>,class A,class B or AB,class C,class D,,C,
