question,A,B,C,D,E,answer,explanation
<p>The frequency of flashing of light per minute in a direction (side turn) indicator is about</p>,9,90,900,9000,,B,
<p>Thinner is added to the paint in order to</p>,make pigments and resin mix easily,make paint film hard,optimise its viscosity,none of these,,C,
<p>The ease with which petrol vapourizes is called its</p>,oxidation,octane number,volatility,cetane number,,C,
<p>A four-cylinder engine has a capacity of 2.4 litres. The swept volume of one cylinder is</p>,400 cm<sup>3</sup>,600 cm<sup>3</sup>,1200 cm<sup>3</sup>,2400 cm<sup>3</sup>,,B,
<p>An imbalance wheel during vehicle operation</p>,makes large noise when its heavy point hits the road surface,deflects in the vehicle's longitudinal direction,bounces vertically or deflects from side to side (as seen from front or rear),creates a standing wave,,C,
<p>The main function of the brake fluid is</p>,lubrication,power transmission,cooling,none of these,,B,
<p>The parking brakes employed in vehicles are operated</p>,mechanically,hydraulically,pneumatically,none of these,,A,
<p>The function of a carburettor is to control the amount and ratio of air-fuel mixture.</p>,True,False,,,,A,
<p>The component in the radiator of an automobile that increases the boiling point of water is</p>,drain plug,water jacket,vacuum valve,pressure cap,,D,
"<p>In vehicles with tilt steering, the steering column is pivoted in</p>",upper bracket,lower bracket,tilt bracket,steering yoke joint,,B,
<p>Tachometer in a vehicle measures</p>,speed,distance,engine r.p.m.,fuel consumption,,C,
<p>One effect of detonation is</p>,delay in ignition,loss of power,overheating of engine,overcooling of engine,,B,
<p>The temperature indicating instrument in vehicles indicates the temperature of</p>,engine piston,engine cylinder,lubricating oil,jacket cooling water,,D,
<p>The ignition coil is used to</p>,step up current,step down current,step up voltage,step down voltage,,C,
"<p>The process of removing the burnt gases from the engine cylinder by the fresh charge coming into the engine cylinder from the crank-case, is known as</p>",cleaning,priming,scavenging,detonation,,C,
<p>The self ignition temperature of Diesel as compared to petrol is</p>,higher,lower,same,depends on fuel quality,,B,
"<p>With the increase of battery temperature, the specific gravity of electrolyte</p>",increases,decreases,reamains the same,none of these,,B,
<p>The process of supplying the intake air to the engine cylinder at a pressure greater than the pressure of the surrounding atmosphere is known as</p>,supercharging,auto-ignition,scavenging,detonation,,A,
"<p>In aluminium cylinder blocks, the cylinder liners are made of</p>",aluminium,ceramic,brass,cast iron,,D,
