question,A,B,C,D,E,answer,explanation
<p>A reverse biased diode will act as an open switch.</p>,True,False,,,,A,
"<p>If the diode in a series circuit is reverse biased, the resistor will drop all the applied voltage.</p>",True,False,,,,B,
<p>The PIV rating of a diode in a full-wave bridge rectifier is more than that required for a full-wave center-tapped configuration.</p>,True,False,,,,B,
<p>The troubleshooting process for a typical dc power supply contains four steps.</p>,True,False,,,,B,
<p>The number of electrons in a stable atom is the same as the number of protons in its nucleus.</p>,True,False,,,,A,
<p>A rectifying diode can change ac voltage to dc voltage.</p>,True,False,,,,A,
<p>The <b><i>barrier potential</i></b> is the small difference of potential created by positive and negative ions on either side of the depletion region.</p>,True,False,,,,A,
<p><b><i>Dark current</i></b> is a small reverse current that flows in a photodiode that is receiving no light.</p>,True,False,,,,A,
<p>One of the advantages of using transformer coupling in a half-wave rectifier is that it allows the ac source to be directly connected to the load.</p>,True,False,,,,B,
<p>A zener diode can be used to provide voltage regulation in a power supply.</p>,True,False,,,,A,
<p>The positive lead of a diode is the cathode.</p>,True,False,,,,B,
<p>It is not possible to use a half-wave rectifier circuit without a transformer.</p>,True,False,,,,B,
<p>Electrons in the conduction band are the only ones that are included in the electron current flow.</p>,True,False,,,,A,
<p>The forward biased characteristics of a zener diode are the same as those of a diode.</p>,True,False,,,,A,
<p>Breakdown voltage and peak inverse voltage are the same.</p>,True,False,,,,A,
<p>An LED can be tested with an ohmmeter.</p>,True,False,,,,B,
<p><b><i>Reverse biasing</i></b> a <i>pn</i> junction allows the flow of majority current.</p>,True,False,,,,B,
<p>A zener diode can be tested with an ohmmeter.</p>,True,False,,,,B,
<p>A diode can be tested with an ohmmeter.</p>,True,False,,,,A,
<p>A zener diode has a larger breakdown voltage than a diode.</p>,True,False,,,,B,
<p>The diode's characteristic curve shows that current increases when voltage increases.</p>,True,False,,,,A,
"<p>If a bridge rectifier is used, it is not necessary to use a transformer.</p>",True,False,,,,A,
<p>Doping semiconductive material is the process of putting a small amount of pentavalent or trivalent atoms in with tetravalent atoms.</p>,True,False,,,,A,
<p>A common problem with rectifiers is open diodes.</p>,True,False,,,,A,
