question,A,B,C,D,E,answer,explanation
"<p>For the same compression ratio, the efficiency of dual combustion cycle is</p>",greater than Diesel cycle and less than Otto cycle,less than Diesel cycle and greater than Otto cycle,greater than Diesel cycle,less than Diesel cycle,,A,
"<p>In an irreversible process, there is a</p>",loss of heat,no loss of heat,gain of heat,no gain of heat,,A,
<p>The amount of heat required to raise the temperature of unit mass of a gas through one degree at constant pressure is called specific heat at constant pressure.</p>,True,False,,,,A,
"<p>The change of entropy, when heat is removed from the gas, is negative.</p>",Yes,No,,,,A,
<p>Coke is produced</p>,when coal is first dried and then crushed to a fine powder by pulverising machine,from the finely ground coal by moulding under pressure with or without a binding material,when coal is strongly heated continuously for 42 to 48 hours in the absence of air in a closed vessel,by heating wood with a limited supply of air to a temperature not less than 280°C,,C,
<p>One Joule (J) is equal to</p>,1 N-m,1 kN-m,10 N-m/s,10 kN-m/s,,A,
"<p>When the expansion or compression takes place according to the law <i>pv<sup>n</sup></i> = <i>C</i>, the process is known as</p>",isothermal process,adiabatic process,hyperbolic process,polytropic process,,D,
<p>The entropy is a point function and thus it is a property of the same.</p>,Correct,Incorrect,,,,A,
"<p>The state of a substance whose evaporation from its liquid state is complete, is known as</p>",vapour,perfect gas,air,steam,,B,
<p>An open cycle gas turbine works on</p>,Carnot cycle,Otto cycle,Joule's cycle,Stirling cycle,,C,
<p>The volumetric or molar specific heat at constant pressure is the product of</p>,molecular mass of the gas and the specific heat at constant volume,atomic mass of the gas and the gas constant,molecular mass of the gas and the gas constant,none of the above,,D,
<p>The efficiency of Carnot cycle depends upon</p>,temperature limits,pressure ratio,volume compression ratio,cut-off ratio and compression ratio,,A,
<p>The gas turbine cycle with regenerator improves</p>,thermal efficiency,work ratio,avoids pollution,none of these,,A,
<p>Which of the following has the highest calorific value?</p>,Peat,Lignite,Bituminous coal,Anthracite coal,,D,
"<p>When a gas is heated, change takes place in</p>",pressure,volume,temperature,all of these,,D,
<p>Which of the following is an intensive property of a thermodynamic system?</p>,Volume,Temperature,Mass,Energy,,B,
<p>A triatomic molecule consists of __________ atoms.</p>,one,two,three,four,,C,
<p>The main cause for the irreversibility is</p>,mechanical and fluid friction,unrestricted expansion,heat transfer with a finite temperature difference,all of the above,,D,
<p>A cycle consisting of __________ and two isothermal processes is known as Stirling cycle.</p>,two constant pressure,two constant volume,two isentropic,"one constant pressure, one constant volume",,B,
<p>The heat and mechanical energies are mutually convertible. This statement was established by</p>,Boyle,Charles,Joule,none of these,,C,
"<p>For the same compression ratio, the efficiency of Diesel cycle is __________ Otto cycle.</p>",greater than,less than,equal to,,,B,
<p>Mond gas is obtained by</p>,"partial combusion of coal, coke, anthracite coal or charcoal in a mixed air steam blast",carbonisation of bituminous coal,passing steam over incandescent coke,passing air and a large amount of steam over waste coal at about 650°C,,D,
<p>The natural solid fuel is</p>,wood,coke,anthracite coal,pulverised coal,,A,
<p>The condition for the reversibility of a cycle is</p>,"the pressure and temperature of the working substance must not differ, appreciably, from those of the surroundings at any stage in the process","all the processes, taking place in the cycle of operation, must be extremely slow",the working parts of the engine must be friction free,all of the above,,D,
<p>In open cycle gas turbine plants</p>,the indirect heat exchanger and cooler is avoided,direct combustion system is used,a condenser is used,all of the above,,D,
"<p>In an isolated system, neither the heat and work nor the, mass of the working substance crosses the boundary of the system.</p>",True,False,,,,A,
<p>The compression ratio is the ratio of</p>,swept volume to total volume,total volume to swept volume,swept volume to clearance volume,total volume to clearance volume,,D,
"<p>When a fluid is allowed to expand suddenly into a vaccum chamber through an orifice of large dimensions, the process is known as free expansion process.</p>",True,False,,,,A,
<p>The efficiency of Ericsson cycle is __________ Carnot cycle.</p>,greater than,less than,equal to,,,C,
<p>One molecule of oxygen consists of __________ atoms of oxygen.</p>,2,4,8,16,,A,
