question,A,B,C,D,E,answer,explanation
"<p>In a fixed-bias network, the input signal V<sub>i</sub> is applied to the ________ of the transistor while the output V<sub>o</sub> is off the ________.</p>","base, collector","base, emitter","emitter, collector",None of the above,,A,
"<p>In an emitter-follower, the voltage gain is ________.</p>",slightly less than 1,slightly more than 1,a very large value,None of the above,,A,
<p>In an unbypassed emitter-bias configuration ________ replaces r<sub>e</sub> in the hybrid equivalent circuit.</p>,h<sub>ie</sub>,h<sub>fe</sub>,h<sub>re</sub>,h<sub>oe</sub>,,A,
"<p>The feedback pair uses a(n) ________ transistor driving a(n) ________ transistor, the two devices acting effectively much like one pnp transistor.</p>","<i>pnp, npn</i>","<i>pnp, pnp</i>","<i>npn, npn</i>",None of the above,,A,
"<p>In a hybrid equivalent circuit, ________ is determined to make it easier to find the other parameters.</p>",Z<sub>i</sub>,Z<sub>o</sub>,A<sub>i</sub>,A<sub>v</sub>,,D,
<p>The input and output signals are ________ for the typical transistor amplifier at frequencies that permit ignoring the effects of the reactive elements.</p>,in phase,180º out of phase,either in phase or 180º out of phase,None of the above,,C,
"<p>________ is slightly affected if the condition r<sub>o</sub> <img src=""/_files/images/electronic-devices-and-circuit-theory/greaterthanorequalto.gif""/> 10R<sub>E</sub> is not satisfied in the analysis of an emitter-follower configuration.</p>",Z<sub>i</sub>,Z<sub>o</sub>,A<sub>v</sub>,A<sub>i</sub>,,C,
<p>The dc load line and ac load line both have the same ________ .</p>,x-intercept,y-intercept,slope,Q-point,,D,
"<p>The ________ the level of R<sub>L</sub>, the ________ the level of ac voltage gain.</p>","smaller, higher","larger, lower","smaller, lower",None of the above,,C,
<p>The coupling capacitor places the load and collector resistors in a ________ arrangement.</p>,series,parallel,series-parallel,None of the above,,B,
"<p>In a voltage-divider bias configuration, the voltage-divider equation is used to determine the ________.</p>",ac level of V<sub>b</sub>,dc level of I<sub>B</sub>,dc level of V<sub>B</sub>,ac level of I<sub>b</sub>,,C,
<p>The ________ of the input signal is one of the first concerns in the sinusoidal ac analysis of transistor networks.</p>,period,frequency,magnitude,None of the above,,C,
<p>The ________ model(s) is (are) commonly used in the small-signal ac analysis of transistor networks.</p>,r<sub>e</sub>,hybrid equivalent,r<sub>e</sub> and hybrid equivalent,None of the above,,C,
"<p>In a voltage-divider bias configuration, there can be a measurable difference in the results for ________ if the condition r<sub>o</sub> <img src=""/_files/images/electronic-devices-and-circuit-theory/greaterthanorequalto.gif""/> 10R<sub>C</sub> is not satisfied.</p>",Z<sub>o</sub>,A<sub>v</sub>,A<sub>i</sub>,All of the above,,C,
<p>The level of r<sub>e</sub> is determined by ________.</p>,a,I<sub>E</sub>,"<img src=""/_files/images/electronic-devices-and-circuit-theory/beta.gif""/>",I<sub>B</sub>,,B,
"<p>The ________ the source resistance, the ________ the overall gain of an amplifier.</p>","larger, higher","larger, lower","lower, lower",None of the above,,B,
"<p>In a common-base configuration, the input and output voltages are ________ and the output and input currents are ________.</p>","180º out of phase, 180º out of phase","180º out of phase, in phase","in phase,180º out of phase","in phase, in phase",,D,
"<p>Ideally, the changes in the load resistor or the source resistor should have ________ effect on all the parameters of the two-port model.</p>",a great,a moderate,no,None of the above,,C,
<p>The ac voltage gain of a Darlington connection is about ________.</p>,0,1,"<img src=""/_files/images/electronic-devices-and-circuit-theory/beta.gif""/><sub>D</sub>",None of the above,,B,
<p>One junction of an operating transistor is ________ and the other one is ________.</p>,"forward-biased, forward-biased","forward-biased, reverse-biased","reverse-biased, reverse-biased",None of the above,,B,
<p>The output voltage and the input voltage are ________ for the common-base configuration.</p>,45º out of phase,90º out of phase,180º out of phase,in phase,,D,
<p>A common-base configuration has ________ impedance at the input and ________ impedance at the output.</p>,"high, high","high, low","low, low","low, high",,D,
<p>In a common-emitter configuration ________ is the controlling current while ________ is the controlled current.</p>,"I<sub>C</sub>, I<sub>B</sub>","I<sub>C</sub>, I<sub>E</sub>","I<sub>B</sub>, I<sub>C</sub>",None of the above,,C,
"<p>For the common-emitter and common-base configurations, the magnitude of ________ and ________ is often not included in the model.</p>","h<sub>r</sub>, h<sub>o</sub>","h<sub>i</sub>, h<sub>e</sub>","h<sub>i</sub>, h<sub>r</sub>","h<sub>e</sub>, h<sub>o</sub>",,A,
