question,choices,answer
"The sum of Kim’s and Kevin’s ages is 18. In 3 years, Kim will be as twice as old as Kevin. What are their ages now?","[""4, 14"",""5, 13"",""7, 11"",""6, 12""]",1
"Robert is 15 years older than his brother Stan. However “y” years ago, Robert was twice as old as Stan. If Stan is now “b” years old and b&gt;y, find the value of (b – y).","[""15"",""16"",""17"",""18""]",0
"John is 3 times as old as Jaime. Three years ago, John was four times as old as Jaime. The sum of their ages is?","[""20"",""24"",""28"",""36""]",3
"A girl, is one-third as old as her brother and 8 years younger than her sister. The sum of their ages is 38 years. How old is the girl?","[""4"",""5"",""6"",""7""]",1
"Maja is now 18 years old and his colleague Angel is 14 years old. How many years ago was Maja twice as old as Angel?","[""5"",""7"",""8"",""10""]",3
"A father tells his son, I was your age now when you were born”. If the father is now 38 years old, how old was his son 2 years ago?","[""15"",""17"",""19"",""21""]",1
"Six years ago, Maya was five times as old Richard. In five years, Maya will be three times as old as Richard. What is the present age of Richard?","[""17"",""16"",""15"",""14""]",0
"At present, the sum of the parents’ ages is twice the sum of the children’s ages. Five years ago, the sum of the parent’s ages was 4 times the sum of the children’s ages. Fifteen years hence, the sum of the parents’ ages will be equal to the sum of the children’s ages. How many children are there?","[""3"",""4"",""5"",""6""]",2
"Tom is now twice as old as Jerry. Four years ago, Tom was three times as old as Jerry then. How old is Tom?","[""14"",""16"",""18"",""24""]",1
"A pump can pump out water from a tank in 11 hours. Another pump can pump out water from the same tank in 20 hours. How long will it take both pumps to pump out water in the tank?","[""7 hours"",""6 hours"",""7 1\/2 hours"",""6 1\/2 hours""]",0
"A 400-mm pipe can fill the tank alone in 5 hours and another 600-mm pipe can fill the tank alone in 4 hours. A drain pipe 300-mm can empty the tank in 20 hours. With all the three pipes open, how long will it take to fill the tank?","[""2.00 hours"",""2.50 hours"",""2.25 hours"",""2.75 hours""]",1
"A tank is filled with an intake pipe in 2 hours and empties by an outlet pipe in 4 hours. If both pipes are opened, how long will it take to fill the empty tank?","[""3 hours"",""4 hours"",""5 hours"",""6 hours""]",1
"A tank can be filled in 9 hours by one pipe, 12 hours by a second pipe and can be drained when full by a third pipe in 15 hours. How long will it take to fill an empty tank with all pipes in operation?","[""7 hours and 12 minutes"",""7 hours and 32 minutes"",""7 hours and 42 minutes"",""7 hours and 50 minutes""]",3
"Pedro can paint a fence 50% faster than Juan and 20% faster than Pilar, and together they can paint a given fence in 4 hours. How long will it take Pedro can paint the same fence if he had to work alone?","[""6"",""8"",""10"",""12""]",2
"Glenn can paint a house in 9 hours while Stewart can paint the same house in 16 hours. They work together for 4 hours. After 4 hours, Stewart left and Glenn finished the job alone. How many more days did it take Glenn to finish the job?","[""2.75 hours"",""2.50 hours"",""2.25 hours"",""3.00 hours""]",0
"It takes Butch twice as long as it takes Dan to do a certain piece of work. Working together they can do the work in 6 days. How long would it take Dan to do it alone?","[""9 days"",""10 days"",""11 days"",""12 days""]",0
"John and Peter working together can finish painting a house in 6 days. John working alone can finish it in 5 days less than Peter. How long will it take each of them to finish the work alone?","[""8, 13"",""10, 15"",""6, 11"",""7, 12""]",1
"Ron and Rej can do a piece of work in 42 days, Rej and Loyd in 31 days and Loyd and Ron in 20 days. In how many days can all of them do the work together?","[""19"",""17"",""21"",""15""]",0
"It takes Jannah twice as long as Cathy to do a certain piece of work. Working together, they can finish the work in 6 hours. How long would it take Cathy to do it alone?","[""9 hours"",""18 hours"",""12 hours"",""14 hours""]",0
"Vryan, Mike, and Kim can mow the lawn in 4, 6, and 7 hours respectively. What fraction of the yard can they mow in 1 hour if they work together?","[""47\/84"",""45\/84"",""84\/47"",""39\/60""]",0
"A farmer can plow the field in 8 days. After working for 3 days, his son joins him and together they plow the field in 3 more days. How many days will it require for the son to plow the field alone?","[""10"",""11"",""12"",""13""]",2
"Crew No. 1 can finish installation of an antenna tower in 200 man-hour while Crew No. 2 can finish the same job in 300 man-hour. How long will it take both crews to finish the same job, working together?","[""100 man-hour"",""120 man-hour"",""140 man-hour"",""160 man-hour""]",1
"On one job, two power shovels excavate 20,000 cubic meters of earth, the larger shovel working 40 hours and the smaller for 35 hours. On another job, they removed 40,000 cubic meters with the larger shovel working 70 hours and the smaller working 90 hours. How much earth can each remove in 1 hour working alone?","[""169.2, 287.3"",""178.3, 294.1"",""173.9, 347.8"",""200.1, 312.4""]",2
"Ten liters of 25% salt solution and 15 liters of 35% salt solution are poured into a drum originally containing 30 liters of 10% solution. What is the percent concentration of salt in the mixture?","[""19.55%"",""22.15%"",""27.05%"",""25.72%""]",0
"A Chemist of a distillery experimented on two alcohol solutions of different strength, 35% alcohol and 50% alcohol, respectively. How many cubic meters of each strength must he use to produce mixture of 60 cubic meters that contain 40% alcohol?","[""20 m<sup>3<\/sup> of solution with 35% alcohol, 40 m<sup>3<\/sup> of solution with 50% alcohol"",""50 m<sup>3<\/sup> of solution with 35% alcohol, 20 m<sup>3<\/sup> of solution with 50% alcohol"",""20 m<sup>3<\/sup> of solution with 35% alcohol, 50 m<sup>3<\/sup> of solution with 50% alcohol"",""40 m<sup>3<\/sup> of solution with 35% alcohol, 20 m<sup>3<\/sup> of solution with 50% alcohol""]",3
