question,A,B,C,D,E,answer,explanation
<p>Which of the following areas is (are) an application of infrared-emitting diodes?</p>,Intrusion alarms,Shaft encoders,Paper-tape readers,All of the above,,D,
<p>Schottky diodes are very effective at frequencies approaching ________.</p>,20 GHz,10 MHz,100 MHz,1 MHz,,A,
<p>What is the voltage drop across Schottky diodes?</p>,0 V to 0.2 V,0.7 V to 0.8 V,0.8 V to 1.0 V,1.0 V to 1.5 V,,A,
<p>In which region is the operating point stable in tunnel diodes?</p>,Negative-resistance,Positive-resistance,Both negative- and positive-resistance,Neither negative- nor positive-resistance,,B,
<p>What is the range of the varying capacitor C<sub>T</sub> in varactor diodes?</p>,0 pF to 5 pF,2 pF to 10 pF,"2 <img src=""/_files/images/electronic-devices-and-circuit-theory/mu.gif""/>F to 100 <img src=""/_files/images/electronic-devices-and-circuit-theory/mu.gif""/>F",2 pF to 100 pF,,D,
<p>What is the maximum temperature limit for liquid-crystal displays (LCDs)?</p>,10ºC,30ºC,60ºC,100ºC,,C,
<p>Which of the following diodes is limited to the reverse-bias region in its region of operation?</p>,Schottky,Tunnel,Photodiode,Rectifier,,C,
<p>The majority of power diodes are constructed using ________.</p>,molybdenum,platinum,tungsten,silicon,,D,
<p>Which of the following is (are) diodes?</p>,Schottky,Varactor,Tunnel,All of the above,,D,
<p>What is the limit of peak current I<sub>P</sub> in tunnel diodes?</p>,A few microamperes to several hundred amperes,A few microamperes to several amperes,A few microamperes to several milliamperes,A few microamperes to several hundred microamperes,,A,
<p>What is the response time of LCDs?</p>,Less than 100 ns,50 ms,100 ms to 300 ms,400 ms,,C,
<p>What is the typical level of change in resistance per degree change in temperature?</p>,1% to 2%,3% to 5%,7% to 10%,10% to 25%,,B,
<p>What is the maximum peak voltage for tunnel diodes?</p>,50 mV,100 mV,250 mV,600 mV,,D,
"<p>This is an equivalent circuit for the ________ diode. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq16_01200.gif""/></p></p>",Schottky,varicap,tunnel,,,B,
<p>Which of the following semiconductor materials is (are) used for manufacturing solar cells?</p>,Gallium arsenide,Indium arsenide,Cadmium sulfide,All of the above,,D,
<p>Which of the following semiconductor materials is (are) used in the manufacturing of tunnel diodes?</p>,Germanium,Gallium,Both germanium and gallium arsenide,Silicon,,C,
<p>What is the power density received from the sun at sea level?</p>,10 mW/cm<sup>2</sup>,100 mW/cm<sup>2</sup>,500 mW/cm<sup>2</sup>,1 W/cm<sup>2</sup>,,B,
<p>The varicap diode has a transition capacitance sensitive to the applied reverse-bias potential that is a maximum at zero volts and decreases ________ with increasing reverse-bias potentials.</p>,logarithmically,parabolically,exponentially,,,C,
"<p>For a 50-A unit, the PIV of the Schottky is about ________ compared to 150 V for the <i>p-n</i> junction variety.</p>",25,50,75,100,,B,
<p>What metal(s) is(are) used in the construction of Schottky diodes?</p>,Molybdenum,Platinum,Tungsten,Silicon,Any of the above,E,
<p>Which of the following metals is (are) used in the fabrication of Schottky diodes?</p>,Molybdenum,Platinum,Tungsten,All of the above,,D,
<p>What is the resistance of thermistors at boiling temperature (100ºC)?</p>,"5 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","1 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","100 <img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","1 <img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>",,C,
<p>Which of the following areas is (are) applications of varactor diodes?</p>,FM modulators,Automatic-frequency control devices,Adjustable bandpass filters,All of the above,,D,
"<p>This is an approximate equivalent circuit for the ________ diode. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq16_00800.gif""/></p></p>",Schottky,varicap,tunnel,,,A,
<p>Which of the following materials is (are) used in the manufacturing of thermistors?</p>,Ge,Si,"A mixture of oxides of cobalt, nickel, strontium, or manganese",All of the above,,D,
<p>What is the ratio I<sub>P</sub> / I<sub>V</sub> for gallium arsenide?</p>,1:1,5:1,10:1,20:1,,D,
<p>What is the response time of light-emitting diodes (LEDs)?</p>,Less than 100 ns,50 ms,100 ms to 300 ms,400 ms,,A,
<p>What type of temperature coefficient do thermistors have?</p>,Positive,Negative,Either positive or negative,None of the above,,C,
<p>Which of the following diodes has a negative-resistance region?</p>,Schottky,Varactor,Tunnel,Power,,C,
"<p>The tuning diode is a ________-dependent, variable ________.</p>","voltage, resistor","current, capacitor","voltage, capacitor","current, inductor",,C,
<p>What is the resistance of thermistors at room temperature (20ºC)?</p>,"5 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","1 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","100 <img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","1 <img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>",,A,
<p>What is the response time of cadmium sulfide (CdS) in photoconductive cells?</p>,100 ms,50 ms,25 ms,10 ms,,A,
<p>The PIV rating of power diodes can be increased by stacking the diodes in series.</p>,True,False,,,,A,
<p>What are the typical ranges of reverse-bias current levels I<sub>S</sub> for low-power and high-power Schottky diodes at room temperature?</p>,"Picoamperes, nanoamperes","Nanoamperes, microamperes","Microamperes, milliamperes","Milliamperes, amperes",,C,
<p>The current capability of power diodes can be increased by placing two or more in series.</p>,True,False,,,,B,
