question,choices,answer
"What are the coordinates of the center of the curve x<sup>2</sup> + y<sup>2</sup> – 2x – 4y – 31 = 0?","[""(-1, -1)"",""(-2, -2)"",""(1, 2)"",""(2, 1)""]",2
"A circle whose equation is x<sup>2</sup> + y<sup>2</sup> + 4x +6y – 23 = 0 has its center at","[""(2, 3)"",""(3, 2)"",""(-3, 2)"",""(-2, -3)""]",3
"What is the radius of a circle with the ff. equation: x<sup>2</sup> – 6x + y<sup>2</sup> – 4y – 12 = 0","[""3.46"",""7"",""5"",""6""]",2
"The diameter of a circle described by 9x<sup>2</sup> + 9y<sup>2</sup> = 16 is?","[""4\/3"",""16\/9"",""8\/3"",""4""]",2
"How far from the y-axis is the center of the curve 2x<sup>2</sup> + 2y<sup>2</sup> +10x – 6y – 55 = 0","[""-2.5"",""-3.0"",""-2.75"",""-3.25""]",0
"What is the distance between the centers of the circles x<sup>2</sup> + y<sup>2</sup> + 2x + 4y – 3 = 0 and x<sup>2</sup> + y<sup>2</sup> – 8x – 6y + 7 = 0?","[""7.07"",""7.77"",""8.07"",""7.87""]",0
"The shortest distance from A (3, 8) to the circle x<sup>2</sup> + y<sup>2</sup> + 4x – 6y = 12 is equal to?","[""2.1"",""2.3"",""2.5"",""2.7""]",0
"The equation circle x<sup>2</sup> + y<sup>2</sup> – 4x + 2y – 20 = 0 describes:","[""A circle of radius 5 centered at the origin."",""An eclipse centered at (2, -1)."",""A sphere centered at the origin."",""A circle of radius 5 centered at (2, -1).""]",3
"The center of a circle is at (1, 1) and one point on its circumference is (-1, -3). Find the other end of the diameter through (-1, -3).","[""(2, 4)"",""(3, 5)"",""(3, 6)"",""(1, 3)""]",1
"Find the area (in square units) of the circle whose equation is x<sup>2</sup> + y<sup>2</sup> = 6x – 8y.","[""20 \u03c0"",""22 \u03c0"",""25 \u03c0"",""27 \u03c0""]",2
"Determine the equation of the circle whose radius is 5, center on the line x = 2 and tangent to the line 3x – 4y + 11 = 0.","[""(x \u2013 2)<sup>2<\/sup> + (y \u2013 2)<sup>2<\/sup> = 5"",""(x \u2013 2)<sup>2<\/sup> + (y + 2)<sup>2<\/sup> = 25"",""(x \u2013 2)<sup>2<\/sup> + (y + 2)<sup>2<\/sup> = 5"",""(x \u2013 2)<sup>2<\/sup> + (y \u2013 2)<sup>2<\/sup> = 25""]",1
"Find the equation of the circle with the center at (-4, -5) and tangent to the line 2x + 7y – 10 = 0.","[""x<sup>2<\/sup> + y<sup>2<\/sup> + 8x \u2013 10y \u2013 12 = 0"",""x<sup>2<\/sup> + y<sup>2<\/sup> + 8x \u2013 10y + 12 = 0"",""x<sup>2<\/sup> + y<sup>2<\/sup> + 8x + 10y \u2013 12 = 0"",""x<sup>2<\/sup> + y<sup>2<\/sup> \u2013 8x + 10y + 12 = 0""]",2
"Find the value of k for which the equation x<sup>2</sup> + y<sup>2</sup> + 4x – 2y – k = 0 represents a point circle.","[""5"",""6"",""-6"",""-5""]",3
"3x<sup>2</sup> + 2x – 5y + 7 = 0. Determine the curve.","[""Parabola"",""Ellipse"",""Circle"",""Hyperbola""]",0
"The focus of the parabola y<sup>2</sup> = 16x is at","[""(4, 0)"",""(0, 4)"",""(3, 0)"",""(0, 3)""]",0
"Where is the vertex of the parabola x<sup>2</sup> = 4(y – 2)?","[""(2, 0)"",""(0, 2)"",""(3, 0)"",""(0, 3)""]",1
"Find the equation of the directrix of the parabola y<sup>2</sup> = 16x.","[""x = 2"",""x = -2"",""x = 4"",""x = -4""]",3
"Given the equation of a parabola 3x + 2y<sup>2</sup> – 4y + 7 = 0. Locate its vertex.","[""(5\/3, 1)"",""(5\/3, -1)"",""-(5\/3, -1)"",""(-5\/3, 1)""]",3
"In the equation y = – x<sup>2</sup> + x + 1, where is the curve facing?","[""Upward"",""Facing left"",""Facing right"",""Downward""]",3
"Find the location of the focus of the parabola y<sup>2</sup> + 4x – 4y – 8 = 0.","[""(2.5, -2)"",""(3, 1)"",""(2, 2)"",""(-2.5, -2)""]",2
"Find the equation of the axis of symmetry of the function y = 2x<sup>2</sup> – 7x + 5.","[""7x + 4 = 0"",""4x + 7 = 0"",""4x \u2013 7 = 0"",""x \u2013 2 = 0""]",2
"A parabola has its focus at (7, -4) and directrix y = 2. Find its equation.","[""x<sup>2<\/sup> + 12y \u2013 14x + 61 = 0"",""x<sup>2<\/sup> \u2013 14y + 12x + 61 = 0"",""x<sup>2<\/sup> \u2013 12x + 14y + 61 = 0"",""none of these""]",0
"A parabola has its axis parallel to the x-axis, vertex at (-1, 7) and one end of the latus rectum at (-15/4, 3/2). Find its equation.","[""y<sup>2<\/sup> \u2013 11y + 11x \u2013 60 = 0"",""y<sup>2<\/sup> \u2013 11y + 14x \u2013 60 = 0"",""y<sup>2<\/sup> \u2013 14y + 11x + 60 = 0"",""none of these""]",2
"Compute the focal length and the length of the latus rectum of the parabola y<sup>2</sup> + 8x – 6y + 25 = 0.","[""2, 8"",""4, 16"",""16, 64"",""1, 4""]",0
"Given a parabola (y – 2)<sup>2</sup> = 8(x – 1). What is the equation of its directrix?","[""x = -3"",""x = 3"",""y = -3"",""y = 3""]",1
"The general equation of a conic section is given by the following equation: Ax<sup>2</sup> + Bxy + Cy<sup>2</sup> + Dx + Ey + F = 0. A curve maybe identified as an ellipse by which of the following conditions?","[""B<sup>2<\/sup> \u2013 4AC &lt; 0"",""B<sup>2<\/sup> \u2013 4AC = 0"",""B<sup>2<\/sup> \u2013 4AC &gt; 0"",""B<sup>2<\/sup> \u2013 4AC = 1""]",0
"What is the area enclosed by the curve 9x<sup>2</sup> + 25y<sup>2</sup> – 225 = 0?","[""47.1"",""50.2"",""63.8"",""72.3""]",0
"Point P (x, y) moves with a distance from point (0, 1) one-half of its distance from line y = 4. The equation of its locus is?","[""2x<sup>2<\/sup> \u2013 4y<sup>2<\/sup> = 5"",""4x<sup>2<\/sup> + 3y<sup>2<\/sup> = 12"",""2x<sup>2<\/sup> + 5y<sup>3<\/sup> = 3"",""x<sup>2<\/sup> + 2y<sup>2<\/sup> = 4""]",1
"The lengths of the major and minor axes of an ellipse are 10 m and 8 m, respectively. Find the distance between the foci.","[""3"",""4"",""5"",""6""]",3
"The equation 25x<sup>2</sup> + 16y<sup>2</sup> – 150x + 128y + 81 = 0 has its center at?","[""(3, -4)"",""(3, 4)"",""(4, -3)"",""(3, 5)""]",0
"Find the major axis of the ellipse x<sup>2</sup> + 4y<sup>2</sup> – 2x – 8y + 1 = 0.","[""2"",""10"",""4"",""6""]",2
"An ellipse with an eccentricity of 0.65 and has one of its foci 2 units from the center. The length of the latus rectum is nearest to?","[""3.5 units"",""3.8 units"",""4.2 units"",""3.2 units""]",0
"An earth satellite has an apogee of 40,000 km and a perigee of 6,600 km. Assuming the radius of the earth as 6,400 km, what will be the eccentricity of the elliptical path described by the satellite with the center of the earth at one of the foci?","[""0.46"",""0.49"",""0.52"",""0.56""]",3
