question,A,B,C,D,E,answer,explanation
<p>The magnitude of the third harmonic is ________ of the magnitude of the fundamental.</p>,1,0.5,0.33,0.25,,C,
<p>The ________ region produces the maximum voltage gain in a single-stage BJT or FET amplifier.</p>,low-frequency,mid-frequency,high-frequency,None of the above,,B,
"<p>The resistance associated with the 1-mW power level is ________ , chosen because it is the characteristic impedance of audio transmission lines.</p>",100,250,400,600,,D,
<p>The Miller effect is meaningful in the ________ amplifier.</p>,inverting,noninverting,inverting/noninverting,None of the above,,A,
"<p>To fix the frequency boundaries of relatively high gain, ________ was chosen to be the gain at the cutoff levels.</p>",0.5A<sub>v</sub> mid,0.707A<sub>v</sub> mid,A<sub>v</sub> low,0.5A<sub>v</sub> high,,B,
<p>Voltage gains of ________ dB or higher should immediately be recognized as being quite high.</p>,3,6,20,50,,D,
<p>The decibel gain of a cascaded system is the ________ of the decibel gains of each stage.</p>,sum,difference,product,quotient,,A,
<p>The bandwidth ________ in a multistage amplifier compared to an identical single-stage amplifier.</p>,increases,decreases,remains the same,None of the above,,B,
"<p><img src=""/_files/images/electronic-devices-and-circuit-theory/mca09_0320a.gif""/> is ________ than <img src=""/_files/images/electronic-devices-and-circuit-theory/mca09_0320b.gif""/> in a common-base configuration.</p>",significantly smaller,smaller,significantly greater,None of the above,,C,
"<p>With a BJT amplifier in the high-frequency region, the capacitance C<sub>be</sub> is the ________ of the parasitic capacitances while C<sub>ce</sub> is the ________.</p>","smallest, largest","largest, smallest","smallest, medium",None of the above,,B,
"<p>In the low-frequency region, the ________ low-frequency cutoff determined by C<sub>S</sub>, C<sub>C</sub>, or C<sub>E</sub> will have the greatest impact on the network.</p>",highest,average,lowest,None of the above,,A,
"<p>For two identical stages in cascade, the drop-off rate in the high- and low-frequency regions has increased to ________ per decade.</p>",–3 dB,–6 dB,–20 dB,–40 dB,,D,
<p>A change in frequency by a factor of 2 results in a ________ change in the ratio of the normalized gain.</p>,3-dB,6-dB,10-dB,20-dB,,B,
"<p>If the parasitic capacitors were the only elements to determine the high cutoff frequency, the ________ frequency would be the determining factor.</p>",lowest,highest,lowest or highest,None of the above,,A,
"<p>For the RC-coupled amplifier, the drop in gain at low frequencies is due to the increasing reactance of ________.</p>",C<sub>C</sub>,C<sub>s</sub>,C<sub>E</sub>,All of the above,,D,
<p>The logarithm of a number ________ than 1 is always ________.</p>,"greater, negative","less, positive","less, negative",None of the above,,C,
<p>The ________ in the Fourier series has the same frequency as the square wave itself.</p>,fundamental,third harmonic,fifth harmonic,seventh harmonic,,A,
"<p>In the input RC circuit of a single-stage BJT or FET amplifier, as the frequency ________, the capacitive reactance ________ and ________ of the input voltage appears across the output terminals.</p>","increases, decreases, more","increases, decreases, less","increases, increases, more","decreases, decreases, less",,A,
<p>The ________ configuration displays improved high-frequency characteristics over the ________ configuration.</p>,"common-collector, common-emitter","common-emitter, common-base","common-emitter, common-collector","common-base, common-emitter",,D,
"<p>At very high frequencies, the effect of C<sub>i</sub> is to ________ the total impedance of the parallel combination of R<sub>1</sub>, R<sub>2</sub>, R<sub>3</sub>, and C<sub>i</sub>.</p>",increase,maintain,decrease,None of the above,,C,
<p>The decibel (dB) is defined such that ________ decibel(s) = ________ bel(s).</p>,"1, 10","10, 1","1, 1","10, 10",,B,
"<p>Logarithms taken to the base ________ are referred to as common logarithms, while logarithms taken to the base ________ are referred to as natural logarithms.</p>","10, e","e, 10","5, e","10, 5",,A,
<p>A change in frequency by a factor of 10 results in a ________ change in the ratio of the normalized gain.</p>,3-dB,6-dB,10-dB,20-dB,,D,
"<p>For any inverting amplifier, the impedance capacitance will be ________ by a Miller effect capacitance sensitive to the gain of the amplifier and the interelectrode capacitance.</p>",unaffected,increased,decreased,None of the above,,C,
<p>The ________ of the upper cutoff frequencies defines a ________ possible bandwidth for a system.</p>,"highest, maximum","lowest, maximum","lowest, minimum",None of the above,,B,
