question,A,B,C,D,E,answer,explanation
"<p>Consider the following rules about integer constant in C <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">An integer constant must have at least one digit.</li><li style=""padding-top:10px;"">An integer constant must not have a decimal point.</li><li style=""padding-top:10px;"">An integer constant may be positive or negative.</li><li style=""padding-top:10px;"">The default sign is positive.</li><li style=""padding-top:10px;"">A maximum of one comma or blank is allowed.</li></ol> Which of the above are correct?</p>",All,"1, 2, 3, 4 only","1, 2, 3, 5","2, 3, 4, 5 only",,B, <p>No comma or blank is allowed in integer constant in C.</p> 
<p>Consider the following logical IF statement in Fortran 77 <code><br/><br/>IF (SALT. LE. PEPPER) 11<br/>GO TO 13<br/><br/></code> The above statement using arithmetic IF statement would be</p>,"IF (SALT - PEPPER) 11, 11, 13","IF (SALT - PEPPER) 13, 11, 11","IF (SALT - PEPPER) 13, 13, 11","IF (SALT - PEPPER) 11, 13, 13",,A," <p>The logical IF statement means that IF SALT is less than or equal to PEPPER, control goes to statement 11 otherwise (<i>i.e., </i> SALT greater than PEPPER), control goes to 13 Same is true of arithmetic IF statement (a).</p> "
"<p>Consider the following rules for constructing variable names in C <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">It can have alphabets, digits or underscores but no other special character.</li><li style=""padding-top:10px;"">The maximum number of characters is 8.</li><li style=""padding-top:10px;"">The first character may be an alphabet or digit but not underscore.</li></ol> Which of the above are correct?</p>",All,1 and 2 only,1 and 3 only,2 and 3 only,,B, <p>First character must be alphabet only.</p> 
"<p>The correct way of writing the expression <img src=""/_files/images/electronics-and-communication-engineering/microprocessors/27-283.png""/> in Pascal is</p>",<code>N * V * V / 2 + G * H / 3D</code>,<code>N * V * V / 2.0 + G * H / (3.0 *D)</code>,<code>N * V * V / 2 + G * H / 3.0 * D</code>,<code>N * V * V / 2.0 + G * H / 3.0 * D</code>,,B, <p>Operators must be written. They are not implied.</p> 
<p>A microprocessor uses 3 MHz oscillator. The duration of one T state is</p>,1 μ<i>s </i>,0.666 μ<i>s</i>,0.333 μ<i>s</i>,3 μ<i>s</i>,,C," <p><img src=""/_files/images/electronics-and-communication-engineering/microprocessors/45-199.png""/> = 0.333 x 10<sup>-6 </sup><i>s. </i></p> "
<p><p><b>Assertion (A):</b>  Dynamic RAM needs refreshing. </p><p><b>Reason (R):</b> Capacitors tend to loose charge.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct R is wrong,A is wrong R is correct,,A, <p>Dynamic RAM consists of a capacitor which has to be recharged.</p> 
"<p>When one operand is real and one integer in Pascal, which of the following operations are not allowed?</p>",+ and -,*,/,Div and Mod,,D, <p>In Pascal div and mod are not allowed with one real and the other integer operator.</p> 
"<p>Consider the following statements about an array in Pascal <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">An array has a fixed predetermined number of components.</li><li style=""padding-top:10px;"">Any component of an array can be accessed using an index.</li><li style=""padding-top:10px;"">An array variable name refers to a group of quantities by a single name.</li><li style=""padding-top:10px;"">When array variables are used an appropriate declaration is required.</li></ol> Which of the above are correct?</p>",All,"1, 2, 3 only","2, 3, 4 only","1, 2 and 4 only",,A, <p>All are true.</p> 
<p>Which of the following is a valid integer constant?</p>,17.0,-18.58,101.14,-810,,D, <p>- 810 is the only one without decimal point.</p> 
<p>When two <code>ALU 1C 74181</code> are cascaded</p>,the carry out of first stage is connected to carry in of second stage,the carry in of first stage connected to carry in of second stage,the carry in of first stage is connected to carry out of second stage,the carry out of first stage is connected to carry out of second stage,,A, <p>In cascading carry out of first stage is connected to carry in of second stage.</p> 
