question,A,B,C,D,E,answer,explanation
<p>Which of the following laws of electromagnetic theory is associated with the force experienced by two loops of a wire carrying currents?</p>,Maxwell's law,Coulomb's law,Ampere's law,Laplace's law,,C,
<p>The intrinsic impedance of free space</p>,increases with increase of frequency,decreases with increase of frequency,is independent of frequency,none,,C,
<p>To couple a coaxial line to a parallel to wire line it is best to use a</p>,slotted line,balun,directional coupler,quarter wave transformer,,B,
<p>The shunt admittance of a transmission line is given by</p>,γ = R + <i>j</i>ωL,γ = R - <i>j</i>ωL,γ = G + <i>j</i>ωC,γ = <i>j</i>ωGC,,C,
"<p>A dipole antenna was radiating with some excitation in free space radiating a certain amount of the power. If this antenna is immersed in a lake where water is non-dissipative but has a dielectric constant of 81, the radiated power with the same excitation will</p>",decrease to finite non-zero value,remain the same,increase,decrease to zero,,B,
"<p>If short-circuited and open circuited impedances are 5 ohms and 20 ohms, then characteristic impedance is</p>",1 ohms,10 ohms,25 ohms,100 ohms,,B,
<p>Electric lines of force do not cross each other because</p>,the lines of force mutually repel each other,the lines of force emanate from a point charge,the tangent to the line of force gives the direction of E and if they cross two tangents for E which is not possible,none of the above,,C,
<p>A person with a receiver is 5 km away from the transmitter. What is the distance that this person must move further to detect at 3 dB decrease in signal strength?</p>,942 m,2070 m,4978 m,5320 m,,B,
<p>For free space propagation</p>,"γ = <span class=""symbol"">a</span> + <i>j</i>β",γ = <i>j</i>β,"γ = <span class=""symbol"">a</span>","<span class=""symbol"">a</span> = β = 0",,A,
<p>SHF range is</p>,30 - 300 MHz,300 - 3000 MHz,3000 - 30000 MHz,30000 - 300000 MHz,,C,
"<p>In figure the voltage distribution on a vertical earthed antenna is represented by <br/><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/206-477-1.png""/></p>",curve A,curve B,curve C,curve D,,B,
<p>The direction in a Yagi Uda antenna</p>,is longer than the radiating element,is shorter than the radiating element,can be longer or shorter than the radiating element,does not exist,,B,
<p>In cell phone antennas are</p>,monopole,loops,helical,lens,,A,
<p>Antenna commonly used for microwave links are</p>,loop antennas,log periodic antennas,paraboloidal dishes,rhombic antennas,,C,
<p>For a good conducting medium the intrinsic impedance is</p>,"σ<span class=""root"">ωμ</span> ∠<span class=""symbol"">p</span>/2","<span class=""root"">ωμ /σ</span> ∠45°","<span class=""root"">ωμ/σ</span> ∠<span class=""symbol"">p</span>/2","<span class=""root"">ωμ/σ</span> ∠0°",,B,
"<p>For an ideal antenna, numerical value of directivity must be</p>",∞,0,1,any value,,A,
<p>The force in a magnetic field is given by F = <i>qv</i>B</p>,F and <i>q</i> are perpendicular and <i>v</i> and B are perpendicular,F and <i>q</i> only are perpendicular to each other,"F and <i>v</i>, F and B are mutually perpendicular to each other and <i>v</i> and B at any angle between them",All the four components are perpendicular to each other,,A,
<p>An electromagnetic wave is incident normally on a dielectric boundary. It is</p>,totally reflected,partially reflected and partially refracted,totally absorbed,none of the above,,B,
"<p>According to maximum power transfer theorem, if the load is inductive, the source should be</p>",inductive,capacitive,resistive,any of the above,,B,
"<p>According to Siegel and Labus, antenna can be treated as</p>",closed transmission line,shorted transmission line,earthed transmission line,opened-out transmission line,,D,
"<p>Given figure shows a 90° sector of spherical reflector with vertex 'V', centre of curvature 'C' and equal distances VD, DF, FE and EC. When a beam of EM wave is incident parallel to the axis, all the energy will pass through the region <br/><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/205-449-1.png""/></p>",VD,DF,EF,EC,,D,
<p>The value of susceptibility in case of vacuum is taken as</p>,zero,0.5,unity,infinity,,A,
<p>Self impedance is</p>,same for transmitting (T<sub><i>t</i></sub>) and receiving antenna (T<sub><i>r</i></sub>),T<sub><i>t</i></sub> &gt; T<sub><i>r</i></sub>,T<sub><i>r</i></sub> &gt; T<sub><i>t</i></sub>,no relation,,A,
<p>Equipotential surfaces about a point charge are in which one of the following forms?</p>,Sphere,Planes,Cylinders,Cubes,,A,
<p>__________ will have the least value of relative permeability.</p>,Palladium,Silver,Cobalt,Iron,,B,
<p>The relative permeability is taken as unity for which of the following?</p>,Air,Cobalt,Vacuum,Bismuth,,A,
<p>The disturbance from adjacent power lines is known as</p>,cross talk,cross fire,inductive disturbance,none of the above,,C,
<p>Magnesium is alloyed with conducting materials for antenna primarily with the purpose of</p>,increasing efficiency,improving radiative power,reducing weight,increasing density,,C,
<p>Which of the following term applies to troposcatter propagation?</p>,SIDs,Faraday rotation,Atmospheric storms,Fading,,D,
"<p>Two co-axial cylindrical sheets of charge are present in free space <i>f<sub>s</sub></i> = 5 c/m<sup>2</sup> at <i>r</i> = 2 m and <span class=""symbol"">r</span><sub><i>s</i></sub> = -2 c/m<sup>2</sup> at <i>r</i> = 4 m, The displacement flux density <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/187-7-2.png""/> at <i>r</i> = 3 m is</p>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/199-287-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/199-287-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/199-287-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/199-287-4.png""/>",,C,
<p>The effective refraction index of the ionosphere for radio wave is</p>,more than unity,less than unity,equal to unity,either more or less than unity depending on the electron concentration,,B,
"<p>For space propagation, what will be the electric field strength at receiving antenna</p>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/201-338-1.png""/>","<span class=""root""> 30 W<sub>T</sub>G<sub>T</sub></span>","173<span class=""root"">W<sub>T</sub></span>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/201-338-2.png""/>",,A,
<p>A medium is said to be isotropic when</p>,∈ = 0,∈ = μ,∈ = σ,∈ is scalar constant,,D,
<p>The radiation resistance of a resonant long wire antenna of half wavelength (λ/2) is given</p>,73 Ω,"120 <span class=""symbol"">p</span>",377 Ω,7.3 Ω,,A,
<p>A uniform wave have components</p>,in the perpendicular direction E existing while H is zero,in the direction of propagation E existing while H is zero,E and H are zero in direction perpendicular to direction of propagation,E and H existing only in direction perpendicular to direction of propagation,,D,
<p>The measure of mismatch between the load and the transmission line is known as</p>,directivity,Gain,standing wave ratio,reflection coefficient,,D,
<p>Ionospheric storm causes an abnormal decrease in the critical frequency.</p>,True,False,,,,A,
<p>Which of the following is best excited from a waveguide?</p>,Discone,Helical,Biconical,Horn,,D,
<p>In a vertical earthed antenna the base input impedance will be inductive for a height</p>,"less than <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/206-479-1.png""/>","between <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/206-481-1.png""/>","between <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/206-481-2.png""/>","more than <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/206-481-3.png""/>",,B,
<p>The frequencies in ultra high frequency range are propagated by means of __________ waves</p>,surface,ground,sky,space,,D,
"<p>Maximum effective aperture of a <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/201-355-1.png""/> antenna is</p>",1.3 λ<sup>2</sup>,0.13 λ<sup>2</sup>,13 λ<sup>2</sup>,3.1 λ<sup>2</sup>,,B,
"<p>Voltage standing wave pattern in a loss less transmission line with characteristic impedance 50 Ω and a resistive load is shown in the figure. <br/><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/196-230-1.png""/> <br/> Reflection coefficient is given by</p>",-0.6,-1,0.6,0,,C,
<p>Which of the following wave remains unaffected during day and night?</p>,Tropospheric wave,Sky wave,Ground wave,None of the above,,C,
<p>A microwave link uses only line-of-sight propagation.</p>,True,False,,,,A,
<p>The phase velocity of an EM wave propagating in a hollow metallic rectangular waveguide in the TE<sub>10</sub> mode is</p>,equal to its group velocity,less than the velocity of light in free space,equal to the velocity of light in free space,greater than the velocity of light in free space,,D,
"<p>The electric field of an EM wave propagating in the <i>z</i> direction given by <br/><img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/196-233-1.png""/> <br/>The wave is</p>",linearly polarized in z direction,elliptically polarized,left hand circularly polarized,right hand circularly polarized,,C,
<p>Which of the following waves do not exist in waveguides?</p>,TE waves,TM waves,TE and TM waves,TEM waves,,C,
<p>The bidirectional pattern of a broadside array can be converted into unidirectional by</p>,maintaining the distance of λ/4 between the elements,maintaining the distance of λ/2 between the elements,installing an identical array behind the main array at distance λ/4 and exciting it by current leading in phase by 90°,installing an identical array behind the main array at distance λ/2 and exciting it by current leading in phase by 120°,,C,
<p>VLF waves are used for communication system because</p>,of low power requirement,they are least prone to distortion,they penetrate the ionosphere easily,the transmitting antennas are of convenient size,,C,
<p>The radiation pattern of two element collinear array is represent in</p>,"<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/206-467-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/206-467-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/206-467-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/206-467-4.png""/>",,A,
