question,A,B,C,D,E,answer,explanation
<p>A truth table illustrates how the input level of a gate responds to all the possible output level combinations.</p>,True,False,,,,B,
<p>A NOR gate output is LOW if any of its inputs is LOW.</p>,True,False,,,,B,
"<p>As a rule, CMOS has the lowest power consumption of all IC families.</p>",True,False,,,,A,
<p>A popular waveform generator is the Johnson shift counter.</p>,True,False,,,,A,
<p>Good troubleshooting is done by looking at the input signal and how it interacts with the circuits.</p>,True,False,,,,B,
<p>A NOR gate and an OR gate operate in exactly the same way.</p>,True,False,,,,B,
<p>An OR array is programmed by blowing fuses to eliminate selected variables from the output functions.</p>,True,False,,,,A,
<p>A NAND gate output is LOW only if all the inputs are HIGH.</p>,True,False,,,,A,
<p>An AND gate output is LOW if all the inputs are HIGH.</p>,True,False,,,,B,
<p>Power is connected to pins 7 and 14 of a 7408 quad two-input AND gate IC to allow voltage for all four AND gates on the IC.</p>,True,False,,,,B,
<p>An exclusive-NOR gate output is HIGH when the inputs are unequal.</p>,True,False,,,,B,
<p>An OR gate output is HIGH only if all the inputs are HIGH.</p>,True,False,,,,B,
<p>A waveform can be enabled or disabled by both AND and OR gates.</p>,True,False,,,,A,
<p>An exclusive-OR gate output is HIGH when the inputs are unequal.</p>,True,False,,,,A,
<p>In a Boolean equation the use of the + symbol represents the OR function.</p>,True,False,,,,A,
<p>A logic gate has one or more output terminals and one input terminal.</p>,True,False,,,,B,
<p>A logic pulser is used to determine the level of floating in a circuit.</p>,True,False,,,,B,
<p>An inverter output is the complement of its input.</p>,True,False,,,,A,
"<p>It is important to memorize logic symbols, Boolean equations, and truth tables for logic gates.</p>",True,False,,,,A,
