question,A,B,C,D,E,answer,explanation
<p>The ________ is (are) an adjustable voltage regulator.</p>,series 7800 ICs,series 7900 ICs,LM317,None of the above,,C,
"<p>The ________ the ac variation with respect to the dc level, the ________ the filter circuit's operation.</p>","smaller, better","larger, better","smaller, worse",None of the above,,A,
"<p>In a current-limiting circuit, ________ provide(s) the limiting of the maximum load current.</p>",the Zener diode,the short-circuit resistor R<sub>sc</sub>,the transistor Q<sub>1</sub>,both the short-circuit resistor R<sub>sc</sub> and transistor Q<sub>2</sub>,,D,
<p>IC units provide regulation of ________.</p>,a fixed positive voltage,a fixed negative voltage,an adjustably set voltage,All of the above,,D,
<p>The ________ values of capacitor filter provide ________ ripple and ________ average voltage.</p>,"larger, more, higher","smaller, less, lower","smaller, more, higher","larger, less, higher",,D,
<p>A complete power supply has a ________.</p>,rectifier,filter,voltage regulator,All of the above,,D,
"<p>If the value of the full-load voltage is the same as the no-load voltage, the voltage regulation calculated is ________.</p>",0%,a negative percentage,a positive percentage,None of the above,,A,
"<p>The ________ the voltage regulation, the ________ the operation of the voltage supply circuit.</p>","smaller, better","larger, better","smaller, worse",None of the above,,A,
"<p>In a half-wave rectifier, the dc voltage level is ________ the ripple voltage level.</p>",smaller than,the same as,larger than,None of the above,,A,
"<p>The ________ the diode conduction time, the ________ the amount of the charging current through the capacitor filter.</p>","shorter, larger","shorter, smaller","longer, larger",None of the above,,A,
"<p>In a foldback configuration, limiting the current reduces ________, protecting the load from overcurrent as well as protecting the regulator.</p>",the output voltage,the output current,both the output voltage and output current,None of the above,,C,
<p>The ripple voltage V<sub>r</sub> is a result of the ________.</p>,conduction of the diode(s),transformer windings,charging and discharging of the capacitor,load resistor,,C,
<p>Regulator IC units contain the circuitry for the ________.</p>,reference source,comparator amplifier,control device and overload protection,All of the above,,D,
<p>A full-wave rectified signal has ________ dc component and ________ ripple than (as) the half-wave rectified voltage.</p>,"a larger, more","a smaller, less","the same, less","a larger, less",,D,
<p>The series 7900 ICs are ________.</p>,positive voltage regulators,negative voltage regulators,both positive and negative voltage regulators,adjustable-set voltage regulators,,B,
<p>The charging and discharging of the capacitor filter take ________ of the period of the input voltage.</p>,0.25,0.5,0.75,1,,B,
<p>The frequency of the output voltage of a full-wave rectifier is ________ the frequency of its input voltage.</p>,the same as,twice,one-half,one-third,,B,
<p>A type of regulator circuit that is quite popular for its efficient transfer of power to the load is the ________.</p>,current-limiting voltage regulator,switching regulator,foldback limiting regulator,op-amp series regulator,,B,
<p>The output resulting from a rectifier is a(n) ________.</p>,ac voltage,pure dc voltage,pulsating dc voltage,None of the above,,C,
"<p>In a full-wave rectifier, the dc voltage level is ________ the ripple voltage level.</p>",smaller than,the same as,larger than,None of the above,,C,
"<p>In a full-wave rectifier, if no load were connected across the capacitor, the output voltage would ideally be a(n) ________.</p>",ac voltage,constant dc voltage,pulsating dc voltage,ramp voltage,,B,
<p>The output of a loaded power supply is ________ that of the unloaded.</p>,the same as,larger than,smaller than,None of the above,,C,
<p>The filter output voltage of a power supply ________ when load current is drawn from the supply.</p>,remains the same,is increased,is reduced,None of the above,,C,
<p>The specification sheet for the 7812 fixed positive voltage regulator shows that the output voltage could be as low as ________ or as high as ________.</p>,"11.5 V, 12.5 V","11.2 V, 12.2 V","11 V, 13 V","8 V, 15 V",,A,
<p>A dc voltmeter reads the ________ while measuring a pulsating dc voltage.</p>,ac component of the signal,average of the signal,peak of the pulsating signal,None of the above,,B,
