question,A,B,C,D,E,answer,explanation
"<p>The ______ determines whether connected resistors are in series, parallel, or series-parallel?</p>",current flow,power source,voltage flow,wattage source,,A,
"<p>If a 3.9 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>, a 7.5 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>, and a 5.6 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/> resistor are connected in series with a 34 V source, the voltage dropped across the 7.5 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/> resistor equals _____.</p>",34 V,15 V,7.8 V,11.2 V,,B,
"<p><p><img src=""/_files/images/basic-electronics/basics/fbq4_1008_1.gif""/></p>
<p>In the given circuit, R<sub>1</sub> equals _____.</p></p>","100 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","200 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","300 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>",More information is needed to find <i>R</i><sub>1</sub>.,,C,
"<p><p><img src=""/_files/images/basic-electronics/basics/fbq4_1007_1.gif""/></p>
<p>The total circuit power in the given circuit equals _____.</p></p>",64 µW,4 µW,0 W,16 × 10<sup>–12</sup> W,,A,
"<p><p><img src=""/_files/images/basic-electronics/basics/fbq4_1008_1.gif""/></p>
<p>In the given circuit, the voltage dropped across R<sub>3</sub> equals ___.</p></p>",1.5 V,3 V,6 V,More information is needed to find the voltage dropped across <i>R</i><sub>3</sub>.,,A,
"<p>If a 220 <img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>, a 100 <img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>, and a 180 <img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/> resistor are connected in series across a 12 V source, the circuit current equals ___.</p>",41.67 A,120 mA,500 A,24 mA,,D,
"<p>If a 47 <img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/> and a 68 <img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/> resistor are connected in series, the total resistance is ___.</p>","3,196 <img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","less than 47 <img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","less than 68 <img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","115 <img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>",,D,
"<p><p><img src=""/_files/images/basic-electronics/basics/fbq4_1008_1.gif""/></p>
<p>In the given circuit, R<sub>2</sub> equals _____.</p></p>","100 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","200 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","300 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>",More information is needed to find <i>R</i><sub>2</sub>.,,B,
<p>The polarity on the side of the resistor where current enters is ______. The polarity on the side of the resistor where current exits is ___________.</p>,"positive, positive","negative, negative","negative, positive","positive, negative",,C,
<p>A voltage divider is always a _____</p>,series-parallel circuit,series circuit,parallel circuit,bridge circuit,,B,
"<p>If five equal resistors are connected in series with a 20 V source, and a current of 400 µA is measured, each resistor equals ___.</p>","10 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","50 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","125 <img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","20 <img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>",,A,
"<p>If four 90 <img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/> resistors are connected in series across an 18 V source, the current equals ___.</p>",50 mA,0.2 A,5 A,20 A,,A," <pre>By Ohm's law, V = IR.

I = V/R

Given, Four 90 ohm resisters in series. 

So, R = ( R1 + R2 + R3 + R4) = 4 x 90 = 360 ohms.

Therefore, I = 18/360 = 0.05 A [or] 50 milli amps.</pre> "
"<p>–1.2 V, +15 V, and –6 V batteries are connected in series. The magnitude of total voltage is _________.</p>",7.8 V,10.2 V,22.2 V,1.3 V,,A,
"<p><p><img src=""/_files/images/basic-electronics/basics/fbq4_1003_1.gif""/></p>
<p>In the given circuit, _____ are in series.</p></p>",<i>R</i><sub>1</sub> and <i>R</i><sub>3</sub>,<i>R</i><sub>3</sub> and <i>R</i><sub>5</sub>,<i>R</i><sub>5</sub> and <i>R</i><sub>7</sub>,None of the above,,B,
