question,choices,answer
"The magnitude of the induced emf in a coil is directly proportional to the rate of change of flux linkages. This is known as","[""Joule\u2019s Law"",""Faraday\u2019s second law of electromagnetic induction"",""Faraday\u2019s first law of electromagnetic induction"",""Coulomb\u2019s Law""]",1
"The force of attraction or repulsion between two magnetic poles is inversely proportional to the square of the distance between them. This is known as","[""Newton\u2019s first law"",""Faraday\u2019s first law of electromagnetic induction"",""Coulomb\u2019s first law"",""Coulomb\u2019s second law""]",3
"The net electrical charge in an isolated system remains constant. This is known as","[""Law of conservation of charge"",""Coulomb\u2019s first law"",""Coulomb\u2019s second law"",""Law of conservation of energy""]",0
"The point in a magnet where the intensity of magnetic lines of force is maximum","[""Magnetic pole"",""South pole"",""North pole"",""Unit pole""]",0
"The emf induced in a coil due to the change of its own flux linked with it is called","[""Mutually induced emf"",""Dynamically induced emf"",""Statically induced emf"",""Self induced emf""]",3
"If the solenoid is gripped by the right hand with the fingers pointing the direction of current flow, the outstretched thumb will then point the north pole. This is known as","[""Right hand rule"",""Helix rule"",""End rule"",""Cork screw rule""]",1
"The phenomenon by which a subtracts pieces of iron","[""Magnetism"",""Electromagnetism"",""Naturalism"",""Materialism""]",0
"A law that states that the current in a thermionic diode varies directly with the three-halves power of anode voltage and inversely with the square of the distance between the electrodes, provided operating conditions are such that the current is limited only by the space charge.","[""Hall\u2019s law"",""Joule\u2019s law"",""Child\u2019s law"",""Coulomb\u2019s law""]",2
"Who developed the electromagnetic theory of light in 1862?","[""Heinrich Rudolf Hertz"",""Wilhelm Rontgen"",""James Clerk Maxwell"",""Andre Ampere""]",2
"The space outside the magnet where its pole have a force of attraction or repulsion on a magnetic pole is called","[""Magnetic field"",""Electric field"",""Electromagnetic field"",""Free Space Field""]",0
"States that the ratio of the thermal conductivity is proportional to the absolute temperature for all metals.","[""Wien\u2019s displacement law"",""Hartleys law"",""Hall\u2019s law"",""Wiedemann Franz law""]",3
"Materials whose permeabilities are slightly greater than that of free space","[""Paramagnetic"",""Non- magnetic"",""Ferromagnetic"",""Diamagnetic""]",0
"Who discovered the relationship between magnetism and electricity that serves as the foundation for the theory of electromagnetism?","[""Luigi Galvani"",""Hans Christian Oersted"",""Andre Ampere"",""Charles Coulomb""]",1
"Materials that have very high permeabilities (hundreds and even thousands times of that of free space)","[""Paramagnetic"",""Non- magnetic"",""Ferromagnetic"",""Diamagnetic""]",2
"If on looking at any one end of a solenoid; the direction of current flow is found to be clockwise then the end under observation is a south pole. This is known as","[""Right hand rule"",""Left hand rule"",""Cork screw rule"",""End Rule""]",3
"The straight line passing through the two poles of magnet is called","[""Real axis"",""Cartesian axis"",""Magnetic axis"",""Imaginary axis""]",2
"Who discovered the most important electrical effects which is the magnetic effect?","[""Hans Christian Oersted"",""Sir Charles Wheatstone"",""Georg Ohm"",""James Clerk Maxwell""]",0
"Define as that pole which when placed in air from a similar and equal pole repels it with a force of newtons","[""North pole"",""South pole"",""Unit pole"",""Magnetic pole""]",2
"Referred to as the specific reluctance of a material","[""Resistivity"",""Reluctivity"",""Conductivity"",""Permeability""]",1
"Which of the following magnetic materials can be easily magnetized in both direction?","[""Soft magnetic materials"",""Hard magnetic materials"",""High hysteresis loss materials"",""Low hysteresis loss materials""]",0
"The force which set ups or tends to set up magnetic flux in a magnetic circuit","[""Dynamic force"",""Electromotive force"",""Potential difference"",""Magnetomotive force""]",3
"A law establishing the fact that the algebraic sum of the rises and drops of the mmf around a closed loop of a magnetic circuit is equal to zero.","[""Kirchhoff\u2019s circuital law"",""Maxwell\u2019s circuital law"",""Ampere\u2019s circuital law"",""Coulomb\u2019s circuital law""]",2
"The phenomenon by which a magnetic substance becomes a magnet when it is place near a magnet","[""Magnetic effect"",""Magnetic phenomenon"",""Magnetic induction"",""Electromagnetic induction""]",2
"The magnetic potential in a magnetic circuit can be measured in terms of","[""Mmf"",""Emf"",""Farad"",""Coulomb""]",0
"Who demonstrated that there are magnetic effects around every current-carrying conductor and that current-carrying conductors can attract and repel each other just like magnets?","[""Luigi Galvani"",""Hans Christian Oersted"",""Charles Coulomb"",""Andre Ampere""]",3
"Lenz’ law states that the direction of the induced emf and hence current","[""Is determined by the rate of current flux"",""Is found by the right hand rule"",""Is found by the left hand rule"",""Always opposes the cause producing it""]",3
"Whenever a flux inking a coil or current changes, an emf is induced in it. This is known as","[""Joule\u2019s Law"",""Coulomb\u2019s Law"",""Faraday\u2019s first law of electromagnetic induction"",""Faraday\u2019s second law of electromagnetic induction""]",2
"Which of the following materials has permeability slightly less than that of free space?","[""Paramagnetic"",""Non- magnetic"",""Ferromagnetic"",""Diamagnetic""]",3
"The property of a material which opposes the creation of magnetic flux in it","[""Resistance"",""Reluctance"",""Permeance"",""Conductance""]",1
"Who discovered superconductivity in 1911?","[""Kamerlingh Onnes"",""Alex Muller"",""Geory Bednorz"",""Charles Coulomb""]",0
"A substance that attracts pieces iron","[""Conductor"",""Semiconductor"",""Magnet"",""All of the above""]",2
"The point in a magnet where the intensity of magnetic lines of force is maximum","[""Magnetic pole"",""South pole"",""North pole"",""Unit pole""]",0
"Lenz’s law is the consequence of the law of conservation of","[""Energy"",""Charge"",""Field lines"",""Momentum""]",0
"Defined as a closed path in which magnetic induction or flux flows","[""Electric circuit"",""Magnetic circuit"",""Electronic circuit"",""Electromagnetic circuit""]",1
"Who demonstrated the theory of electromagnetic induction in 1831?","[""Michael Faraday"",""Andre Ampere"",""James Clerk Maxwell"",""Charles Coulomb""]",0
"Who discovered that a current-carrying conductor would move when placed in a magnetic field?","[""Michael Faraday"",""Andre Ampere"",""Hans Christian Oersted"",""Gustav Robert Kirchhoff""]",0
"Whenever a conductor cuts magnetic flux, an emf is induced in it. This is known as","[""Coulomb\u2019s law"",""Joule\u2019s law"",""Faraday\u2019s law"",""Ohm\u2019s law""]",2
"A law that states that the polarity of the induced voltage will oppose the change in magnetic flux causing the induction.","[""Joule\u2019s law"",""Faraday\u2019s law"",""Coulomb\u2019s law"",""Lenz\u2019 law""]",3
"If you hold the conductor with right hand so that the stretched thumb points in the direction of the current, then encircling fingers will give the direction of magnetic lines of force round the conductor. This is known as","[""Left hand cork screw rule"",""Right hand cork screw rule"",""Left hand rule"",""Right hand rule""]",3
"If the right handed bottle-opener cork screw is assumed to be along the conductor so as to advance in the direction of current flow, the motion of its handle will indicate the direction of magnetic flux produced around the conductor. This is known as","[""Right hand rule"",""Left hand rule"",""Cork screw rule"",""End rule""]",2
"The process by which an emf and hence current is generated or induced in a conductor when there is a change in the magnetic flux linking the conductor is called","[""Electromagnetic induction"",""Mutual induction"",""Faraday\u2019s law"",""Electromagnetic interference""]",0
"The emf induced in a coil due to the changing current of another neighboring coil is called","[""Mutually induced emf"",""Self induced emf"",""Statically induced emf"",""Dynamically induced emf""]",0
"When a conductor is stationary and the magnetic field is moving or changing the emf induced is called","[""Statically induced emf"",""Mutually induced emf"",""Self induced emf"",""Dynamically induced emf""]",0
"Which of the following is a natural magnet?","[""Steel"",""Magnesia"",""Lodestone"",""Soft iron""]",2
"The branch of Engineering which deals with the magnetic effect of electric current is known as","[""Magnetism"",""Electromagnetism"",""Electrical engineering"",""Electronics engineering""]",1
"The total number of magnetic lines of force in a magnetic field is called","[""Magnetic flux"",""Magnetic flux density"",""Magnetic flux intensity"",""Magnetic potential""]",0
"The current of electric circuit is analogous to which quantity of a magnetic circuit","[""Mmf"",""Flux"",""Flux density"",""Reluctivity""]",1
"It is the reciprocal of reluctance and implies the case of readiness with which magnetic flux is developed.","[""Resistance"",""Conductance"",""Permeance"",""Inductance""]",2
"The ability of a material to conduct magnetic flux through it.","[""Permittivity"",""Reluctivity"",""Conductivity"",""Permeability""]",3
"The condition in which a substance attracts pieces of iron is known as","[""Electromagnetism"",""Electrolysis"",""Magnetism"",""Magnetic Induction""]",2
"A substance that attracts pieces iron is known as","[""magnet"",""conductor"",""ferrite"",""superconductor""]",0
"A natural magnet","[""loadstone"",""carbon"",""lodestone"",""magnesium""]",2
"Group of magnetically aligned atoms.","[""Lattice"",""Crystal"",""Domain"",""Range""]",2
"In a magnet, what do you call the point in which the magnetic lines of force is maximum?","[""maximum pole"",""intensified pole"",""unit pole"",""magnetic pole""]",3
"Which of the following refers to a characteristic of a magnetic line of force?","[""Travels from south to north through the surrounding medium of a bar magnet"",""Travels back and forth between the north and south pole of a bar magnet"",""Travels from north to south through the surrounding medium of a bar magnet"",""Stay stationary between the north and the south of a bar magnet""]",2
"Is believed to be the pole where the magnetic lines of force are originating.","[""North Pole"",""South Pole"",""Unit Pole"",""Universal Pole""]",0
"What do you call a pole that when place in air with a similar and equal pole will cause a force of repulsion of 1/4πμο Newtons?","[""South Pole"",""Unit pole"",""Convergence pole"",""Universal Pole""]",1
"In a magnet, the straight line passing through the two poles is called","[""real axis"",""imaginary axis"",""Cartesian axis"",""magnetic axis""]",3
"The phenomenon in which a substance becomes a magnet when placed near a magnet.","[""magnetic transfer"",""magnetic induction"",""electromagnetism"",""magnetism""]",1
"A force which causes a substance to become a magnet.","[""magnetizing force"",""magnetomotive"",""creative force"",""electromagnetic force""]",0
"What do you call the quantity of magnetism retained by a magnetic material after the withdrawal of a magnetizing force?","[""Left over magnetism"",""Coercivity"",""Hysteresis"",""Residual magnetism""]",3
"Is the property of magnetic materials, which retain magnetism after the withdrawal of magnetizing force.","[""retentivity"",""permeability"",""reluctivity"",""susceptability""]",0
"A substance having high retentivity is best suited in making","[""an electromagnet"",""a temporary magnet"",""a permanent magnet"",""two pole magnet""]",2
"Which of the materials below that can be easily magnetized?","[""soft magnetic materials"",""hard magnetic materials"",""low conductive materials"",""high conductive materials""]",0
"Materials that can be easily magnetized in both directions","[""soft magnetic materials"",""hard magnetic materials"",""diamagnetic"",""paramagnetic""]",0
"Ability of a material to conduct magnetic flux through it refers to","[""permittivity"",""permeability"",""reluctivity"",""conductivity""]",1
