question,A,B,C,D,E,answer,explanation
"<p><p><img src=""/_files/images/basic-electronics/basics/fbq5_1005_1.gif""/></p><p> The total current in the given circuit equals _____.</p></p>",86 mA,170 mA,42 mA,128 mA,,B,
"<p>As additional resistors are connected to a parallel circuit, the total resistance will ___.</p>",increase,increase by the value of the resistor being connected,decrease,remain unchanged,,C,
"<p>An ammeter is connected in ______ with the branch resistor to measure branch current, and in ______ with the voltage supply to measure total parallel circuit current.</p>","parallel, series","series, parallel","series, series","parallel, parallel",,C,
"<p><p><img src=""/_files/images/basic-electronics/basics/fbq5_1007_1.gif""/></p><p>The total current in the given circuit is ___.</p></p>",2.5 mA,0.6 mA,1.5 mA,0.4 mA,,A,
"<p><p><img src=""/_files/images/basic-electronics/basics/fbq5_1003_1.gif""/></p><p> If the voltmeter indicates 12 V in the given circuit, the voltage across R<sub>2</sub> equals ___.</p></p>",12 V,<i>V</i><sub>S</sub> minus 12 V,0 V,More information is needed to find the voltage across <i>R</i><sub>2</sub>.,,A,
"<p>An ammeter is connected in ______ with the branch resistor to measure branch current, and in ______ with the voltage supply to measure total parallel circuit current.</p>","parallel, series","series, parallel","series, series","parallel, parallel",,C,
<p>Circuit analysis should reveal that the largest resistance in a parallel circuit has the ______.</p>,least current,most current,least voltage,most voltage,,A,
<p>An open resistor in parallel will cause the total ___ to increase.</p>,voltage,current,resistance,power,,C,
"<p><p><img src=""/_files/images/basic-electronics/basics/fbq5_1007_1.gif""/></p><p>The total power in the given circuit is ___.</p></p>",4.8 mW,18 mW,7.2 mW,30 mW,,D,
"<p><p><img src=""/_files/images/basic-electronics/basics/fbq5_1007_1.gif""/></p><p> The total resistance in the given circuit is _____.</p></p>","greater than 8 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","58 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","4.8 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","greater than 30 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>",,C,
"<p><p><img src=""/_files/images/basic-electronics/basics/fbq5_1005_1u.gif""/></p>If R<sub>1</sub> opens in the given circuit, the total current equals ___.</p>",86 mA,170 mA,42 mA,128 mA,,D,
"<p><p><img src=""/_files/images/basic-electronics/basics/fbq5_1003_1.gif""/></p><p>If R<sub>2</sub> opens in the given circuit, the voltage across R<sub>1</sub> will ___.</p></p>",increase,decrease,equal 0 V,remain unchanged,,D,
<p>A parallel resistor's value that changes with age will cause a corresponding change in ______ .</p>,branch current,branch voltage,both branch current<b> </b>and branch voltage,power supply voltage,,A,
<p>A circuit is parallel between two points if ___ between those two points.</p>,the voltage divides,more than one current path exists,all resistors are equal,there is only one current path,,B,
