question,A,B,C,D,E,answer,explanation
<p>A TRIAC:</p>,can trigger only on positive gate voltages,can trigger only on negative gate voltages,cannot be triggered with gate voltages,can be triggered by either a positive or a negative gate voltage,,D,
<p>When checking a good SCR or TRIAC with an ohmmeter it will:</p>,show high resistance in both directions,"show low resistance with positive on anode and negative on cathode, and high resistance when reversed","show high resistance with negative on anode and positive on cathode, and low resistance when reversed",show low resistance in both directions,,A,
<p>What does a hall effect sensor sense?</p>,temperature,moisture,magnetic fields,pressure,,C,
<p>What causes the piezoelectric effect?</p>,heat or dissimilar metals,pressure on a crystal,water running on iron,a magnetic field,,B,
<p>Which is the DIAC?</p>,"<img alt=""mca14_10012a1.gif"" src=""/_files/images/basic-electronics/complete/mca14_10012a1.gif""/>","<img alt=""mca14_10012b1.gif"" src=""/_files/images/basic-electronics/complete/mca14_10012b1.gif""/>","<img alt=""mca14_10012c1.gif"" src=""/_files/images/basic-electronics/complete/mca14_10012c1.gif""/>","<img alt=""mca14_10012d1.gif"" src=""/_files/images/basic-electronics/complete/mca14_10012d1.gif""/>",,A,
<p>A UJT has:</p>,two base leads,one emitter lead,two emitter leads and one base lead,one emitter lead and two base leads,,D,
<p>The only way to close an SCR is with:</p>,a trigger input applied to the gate,forward breakover voltage,low-current dropout,valley voltage,,B,
<p>What is an SCR?</p>,a PNPN thyristor with 3 terminals,a PNPN thyristor with 4 terminals,a PNP thyristor with 3 terminals,an NPN thyristor with 3 terminals,,A,
<p>What type of application would use a photovoltaic cell?</p>,an automobile horn,a TI 92 calculator,a magnetic field detector,a remote power source,,D,
<p>Which is the seven-segment display?</p>,"<img alt=""mca14_10013a1.gif"" src=""/_files/images/basic-electronics/complete/mca14_10013a1.gif""/>","<img alt=""mca14_10013b1.gif"" src=""/_files/images/basic-electronics/complete/mca14_10013b1.gif""/>","<img alt=""mca14_10013c1.gif"" src=""/_files/images/basic-electronics/complete/mca14_10013c1.gif""/>","<img alt=""mca14_10013d1.gif"" src=""/_files/images/basic-electronics/complete/mca14_10013d1.gif""/>",,A,
"<p>The smallest amount of current that the cathode-anode can have, and still sustain conduction of an SCR is called the:</p>",maximum forward current,maximum forward gate current,holding current,reverse gate leakage current,,D,
"<p>Once a DIAC is conducting, the only way to turn it off is with:</p>",a positive gate voltage,a negative gate voltage,low-current dropout,breakover,,C,
<p>Which is the TRIAC?</p>,"<img alt=""mca14_10011a1.gif"" src=""/_files/images/basic-electronics/complete/mca14_10011a1.gif""/>","<img alt=""mca14_10011b1.gif"" src=""/_files/images/basic-electronics/complete/mca14_10011b1.gif""/>","<img alt=""mca14_10011c1.gif"" src=""/_files/images/basic-electronics/complete/mca14_10011c1.gif""/>","<img alt=""mca14_10011d1.gif"" src=""/_files/images/basic-electronics/complete/mca14_10011d1.gif""/>",,D,
<p>The DIAC is a:</p>,transistor,unidirectional device,three-layer device,bidirectional device,,D,
<p>What type of application would use an injection laser diode?</p>,a 10BASE-T Ethernet,a liquid crystal display,a fiber optic transmission line,a good flashlight,,C,
<p>The PUT (programmable unijunction transistor) is actually a type of:</p>,UJT thyristor,FET device,TRIAC,SCR,,A,
<p>A transducer's function is to:</p>,transmit electrical energy,convert energy,produce mechanical energy,prevent current flow,,B,
