question,choices,answer
"Simplify: i<sup>29</sup> + i<sup>21</sup> + i","[""3i"",""1 \u2013 i"",""1 + i"",""2i""]",0
"Write in the form a + bi the expression i<sup>3217</sup> – i<sup>427</sup> + i<sup>18</sup>","[""2i + 1"",""-1 + i"",""2i \u2013 1"",""1 + i""]",2
"The expression 3 + 4i is a complex number. Compute its absolute value.","[""4"",""5"",""6"",""7""]",1
"Write the polar form of the vector 3 + j4.","[""6 \u2220 53.1\u00b0"",""10 \u2220 53.1\u00b0"",""5 \u2220 53.1\u00b0"",""8 \u2220 53.1\u00b0""]",2
"Evaluate the value of √-10 x √-7","[""i"",""-\u221a70"",""\u221a70"",""\u221a17""]",1
"Simplify (3 – i)<sup>2</sup> – 7(3 – i) + 10","[""\u2013(3 + i)"",""3 + i"",""3 \u2013 i"",""\u2013(3 \u2013 i)""]",3
"If A = 40e<sup>j120°</sup>, B = 20 ∠ -40°, C = 26.46 + j0, solve for A + B + C.","[""27.7 \u2220 45\u00b0"",""35.1 \u2220 45\u00b0"",""30.8 \u2220 45\u00b0"",""33.4 \u2220 45\u00b0""]",2
"What is 4i cube times 2i square","[""-8i"",""8i"",""-8"",""-8i<sup>2<\/sup>""]",1
"What is the simplified expression (4.33 + j2.5) square?","[""12.5 + j21.65"",""20 + j20"",""15 + j20"",""21.65 + j12.5""]",0
"Find the value of (1 + i)<sup>5</sup>, where <i>i</i> is an imaginary number.","[""1 \u2013 i"",""-4(1 + i)"",""1 + i"",""4(1 + i)""]",1
"Find the principal 5<sup>th</sup> root of [50(cos 150° + jsin 150°)].","[""1.9 + j1.1"",""3.26 \u2013 j2.1"",""2.87 + j2.1"",""2.25 \u2013 j1.2""]",0
"What is the quotient when 4 + 8i is divided by i<sup>3</sup>?","[""8 \u2013 4i"",""8 + 4i"",""-8 + 4i"",""-8 \u2013 4i""]",2
"If A = -2 – 3i, and B = 3 + 4i, what is A / B?","[""(18 \u2013 i) \/ 25"",""(-18 \u2013 i) \/ 25"",""(-18 + i) \/ 25"",""(18 + i) \/ 25""]",1
"Rationalize ((4 + 3i) / (2 – i))","[""1 + 2i"",""(11 + 10i) \/ 5"",""(5 + 2i) \/ 5"",""2 + 2i""]",0
"What is the simplified expression of the complex number (6 + j2.5) / (3 + j4)?","[""-0.32 + j0.66"",""1.12 + j0.66"",""0.32 \u2013 j0.66"",""-1.75 + j1.03""]",1
"Perform the operation: 4(cos 60° + i sin 60°) divided by 2(cos 30° + i sin 30°) in rectangular coordinates.","[""Square root of 3 \u2013 2i"",""Square root of 3 \u2013 i"",""Square root of 3 + i"",""Square root of 3 + 2i""]",2
