question,A,B,C,D,E,answer,explanation
<p>Which of the following form of angle modulation in this? If <i>e</i> = 10 sin(10<sup>8</sup> <i>t</i> + 3 sin 10<sup>4</sup> <i>t</i>)</p>,AM,FM,AM or FM,AM or PCM,,B,
<p>The noise performance of a square law demodulator of AM signal is</p>,better than that of an envelope detector,better than that of a synchronous detector,identical with that of a synchronous detector,poorer than that of an envelope detector,,B,
<p>In AM the amplitude of carrier components ... while in FM it</p>,"remains constant, does not remain constant",does not remain constant ... remains constant,remains constant... also remains constant,"does not remain constant, also does not remain constant",,A,
"<p>In a colour TV receiver, the function of comb filter is</p>",to pass only the clusters of monochrome signal energy while blocking chrome signals,to pass only chrome signals and block monochrome signals,to block both monochrome and chrome signals,none of the above,,A,
<p>A communication receiver is</p>,TRF receiver,a superheterodyne receiver,either (a) or (b),neither (a) nor (b),,B,
"<p>In PCM, bit duration is defined as</p>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/534-918-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/534-918-2.png""/>",sampling period x total no. of bits,none of these,,A,
"<p><p><b>Assertion (A):</b>  If frequency is high, the distance between transmitter and antenna may be an appreciable fraction of wavelength</p><p><b>Reason (R):</b>  Wavelength is inversely proportional to frequency.</p></p>",Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,A is wrong but R is correct,,A,
<p>Speeds of sound and radio waves are equal.</p>,True,False,,,,B,
"<p>When P<sub><i>c</i></sub> is the unmodulated carrier power and P<sub><i>t</i></sub> is the total power in the modulated wave, then the maximum power in AM wave is</p>",P<sub><i>t</i></sub> = 1.5 P<sub><i>c</i></sub>,P<sub><i>t</i></sub> = 2.5 P<sub><i>c</i></sub>,"P<sub><i>t</i></sub> = <span class=""root"">2</span>","P<sub><i>t</i></sub> = 2<span class=""root"">2</span> P<sub><i>c</i></sub>",,A,
<p>Thermal noise is passed through an ideal low pass filter having cut off at <i>f<sub>c</sub></i> = ω Hz. The auto-correlation value of the noise at the output of the filter is given as</p>,a delta function at <i>t</i> = 0,gaussian over the range -∞ ≤ <i>t</i> ≤ ∞,sin c function over the range -∞ ≤ <i>t</i> ≤ ∞,"triangular function over the range <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/539-1016-1.png""/>",,C,
<p>Which of the following is not advantage of FM over AM?</p>,Noise immunity,Capture effect,Fidelity,Spluttering effect,,D,
<p>In single tone FM discriminator (S<sub>0</sub>/N<sub>0</sub>) is</p>,proportional to deviation,proportional to cube of deviation,proportional to square of deviation,none of the above,,D,
<p>In a PCM the amplitude levels are transmitted in a 7 unit code. The no. of levels is</p>,18,14,128,64,,C,
<p>In high power AM transmission modulation is done at</p>,IF stage,RF power,buffer stage,oscillator stage,,B,
<p>Which one of the following gives maximum probability of error?</p>,ASK,DPSK,FSK,PSK,,A,
<p>FM has poor efficiency than</p>,AM,AM-SC,PAM,PCM,,B,
<p>The number of spectral component when two sine wave of same frequency multiplied is</p>,2,3,∞,4,,B,
<p>Public address systems generally use electret microphones.</p>,True,False,,,,A,
<p>The noise at the input to an ideal frequency detector is white. The detector is operating above threshold. The power spectral density of the noise at the output is</p>,raised-cosine,flat,parabolic,Gaussian,,D,
"<p>As regards BCH code, Hamming code and Reed-Solomon code</p>",BCH and Hamming code are special cases of Reed-Solomon code,Reed-Solomon and Hamming code are special cases of BCH code,BCH and Reed-Solomon code are special case of Hamming code,none of the above,,B,
<p>One of the advantages of base modulation over collector modulation of a transistor class C amplifier is</p>,improved efficiency,better linearity,high power output per transistor,the lower modulating power requirement,,D,
"<p>If carrier modulated by a digital bit stream had one of the possible phases of 0°, 90°, 180°, 270°, then the modulation is called.</p>",BPSK,QPSK,QAM,MSK,,B,
"<p>In FM, when the bandwidth is doubled, the signal to noise ratio improves by a factor of</p>",2 dB,4 dB,6 dB,8 dB,,C,
