question,A,B,C,D,E,answer,explanation
<p>Which of the following is not a basic element within the microprocessor?</p>,Microcontroller,Arithmetic logic unit (ALU),Register array,Control unit,,A,
<p>Which method bypasses the CPU for certain types of data transfer?</p>,Software interrupts,Interrupt-driven I/O,Polled I/O,Direct memory access (DMA),,D,
<p>Which of the following is not an enhancement to the Pentium that was unavailable in the 8086/8088?</p>,"""Pipelined"" architecture",Expansion of cache memory,Inclusion of an internal math coprocessor,Data/address line multiplexing,,D,
<p>Which bus is bidirectional?</p>,Address bus,Control bus,Data bus,None of the above,,C,
<p>DMA is particularly suited for data transfer between the ________.</p>,disk drive and CPU,disk drive and RAM,disk drive and ROM,disk drive and I/O,,B,
<p>The first microprocessor had a(n)________.</p>,1-bit data bus,2-bit data bus,4-bit data bus,8-bit data bus,,C,
<p>Which microprocessor has multiplexed data and address lines?</p>,8086/8088,80286,80386,Pentium,,A,
<p>Which is not an operand?</p>,Variable,Register,Memory location,Assembler,,D,
<p>Which is not part of the execution unit (EU)?</p>,Arithmetic logic unit (ALU),Clock,General registers,Flags,,B,
<p>A 20-bit address bus can locate ________.</p>,"1,048,576 locations","2,097,152 locations","4,194,304 locations","8,388,608 locations",,A,
<p>What is occurring when two or more sources of data attempt to use the same bus?</p>,Bus contention,Direct memory access,Bus interruption,PPI,,A,
<p>Which of the following is not a jump instruction?</p>,JB (jump back),JA (jump above),JO (jump if overflow),JMP (unconditional jump),,A,
<p>Which of the following was not a design improvement for the 8086/8088 over the 8085?</p>,Execution unit (EU),16-bit data bus,Arithmetic logic unit (ALU),Bus interface unit (BIU),,C,
<p>Polled I/O works best when ________.</p>,there are no priority considerations,priority considerations are frequent,the polling rate exceeds 1000 s,the polling rate is below 1000 s,,A,
<p>Which of the following is not an arithmetic instruction?</p>,INC (increment),CMP (compare),DEC (decrement),ROL (rotate left),,D,
<p>During a read operation the CPU fetches ________.</p>,a program instruction,another address,data itself,all of the above,,D,
<p>The first Intel microprocessor to contain on-board cache memory was the ________.</p>,80386,80486,Pentium,Pentium Pro,,B,
<p>Which of the following is not an 8086/8088 general-purpose register?</p>,Code segment (CS),Data segment (DS),Stack segment (SS),Address segment (AS),,D,
<p>Which of the following is not a computer bus?</p>,Data bus,Control bus,Timer bus,Address bus,,C,
"<p>With interrupt-driven I/O, if two or more devices request service at the same time, ________.</p>",the device closest to the CPU gets priority,the device that is fastest gets priority,the device assigned the highest priority is serviced first,the system is likely to crash,,C,
<p>The Pentium can address ________.</p>,1 MB,1 GB,2 GB,4 GB,,D,
<p>A port can be ________.</p>,strictly for input,strictly for output,bidirectional,all of the above,,D,
<p>Which of the following is not a computer functional block?</p>,Analog-to-digital converter,Central-processing unit,Memory,Input/output ports,,A,
<p>The Pentium microprocessor has a data bus of ________.</p>,16 bits,32 bits,64 bits,128 bits,,C,
<p>The process of jointly establishing communication is called ________.</p>,DMA,bidirectional addressing,multiplexing,handshaking,,D,
